title,body,labels,milestone
"设计系统：Toast 组件","全局 Toast 通知。底部弹出，2s 自动消失。success/error/info 变体。Context 全局管理。","Sprint 1,component","Sprint 1"
"设计系统：Modal Sheet 组件","底部弹出面板。拖拽关闭+点击遮罩关闭。内容可滚动。","Sprint 1,component","Sprint 1"
"设计系统：Empty State 组件","空状态占位。图标+标题+描述+可选 CTA 按钮。","Sprint 1,component","Sprint 1"
"设计系统：组件 JSDoc 文档","所有组件的 Props 和用法 JSDoc 注释完整。","Sprint 1,component","Sprint 1"
"拆解流程：首页-今日状态","今日拆解状态环形图（灰色/绿色）。开始拆解/再做一次按钮。最近 3 条记录摘要。","Sprint 2,feature","Sprint 2"
"拆解流程：首页-情绪快捷选择","横向滚动情绪卡片（焦虑/烦躁/迷茫/压力/失眠/其他）。emoji+标签。点击选中展开拆解入口。","Sprint 2,feature","Sprint 2"
"拆解流程：导航容器","拆解流程 Stack Navigator（记录→分类→重构→行动→总结）。中途退出状态保留+恢复提示。","Sprint 2,navigation","Sprint 2"
"拆解流程：记录页-文字录入","多行文本输入+placeholder。焦虑强度评分 1-10。下一步按钮（未输入 disabled）。","Sprint 2,feature","Sprint 2"
"拆解流程：记录页-语音录入","expo-speech-recognition 语音录入。录音按钮+波形动画（reanimated）。最长 120s 截断。转录可编辑。权限处理。","Sprint 2,feature","Sprint 2"
"拆解流程：分类页-因素解析","按句号/分号/换行拆分焦虑因素。手动编辑拆分结果。","Sprint 2,feature","Sprint 2"
"拆解流程：分类页-可控/不可控拖拽","核心交互。拖拽分类卡片到可控/不可控区域。gesture-handler + reanimated。触感反馈。全部分类后按钮启用。点击切换备选。","Sprint 2,feature","Sprint 2"
"拆解流程：分类页-引导提示","首次使用展示拖拽引导提示。仅展示一次。","Sprint 2,feature","Sprint 2"
"拆解流程：会话状态管理","Zustand Store 管理 AnxietySession 生命周期。idle→recording→classifying→reframing→acting→completed。中途恢复。","Sprint 2,state","Sprint 2"
"拆解流程：本地数据持久化","expo-secure-store + async-storage 实现本地持久化。会话/设置/罗盘数据本地存储。","Sprint 2,data","Sprint 2"
"拆解流程：重构页-认知卡片 FlatList","10 张认知扭曲卡片横向滑动（snap）。选中展开显示反驳引导+输入框。","Sprint 3,feature","Sprint 3"
"拆解流程：认知扭曲卡片内容数据","将 10 种认知扭曲（名称/描述/自查问题/反驳引导）写入数据文件。","Sprint 3,content","Sprint 3"
"拆解流程：重构页-反驳输入","选中卡片后展开文本输入框写反驳。保存到会话状态。可跳过（标记已浏览未重构）。","Sprint 3,feature","Sprint 3"
"拆解流程：行动页-智能推荐","基于焦虑文本关键词匹配推荐 3 个微小行动。5 大类匹配逻辑。默认 3 条兜底。","Sprint 3,feature","Sprint 3"
"拆解流程：微小行动内容库","30 条微小行动建议（5 大类×6 条+默认 3 条）写入数据文件。每条含图标/标题/提示。","Sprint 3,content","Sprint 3"
"拆解流程：行动页-卡片选择","3 张行动卡片纵向排列。图标+标题+提示+圆形勾选框。单选。选中后完成按钮启用。","Sprint 3,feature","Sprint 3"
"拆解流程：总结页-评分对比","完成动效+拆解前/后评分对比+选中行动展示。返回首页+分享按钮。","Sprint 3,feature","Sprint 3"
"拆解流程：分享卡片生成","react-native-view-shot 截图生成分享图片。调用系统 Share Sheet。不含具体焦虑文本（隐私）。","Sprint 3,feature","Sprint 3"
"拆解流程：端到端走查测试","完整 4 步流程走查：文字→语音→拖拽→卡片→行动→总结。边界：中途退出/空输入/超时。","Sprint 3,testing","Sprint 3"
"拆解流程：性能优化","确保拖拽≥60fps。FlatList 滑动流畅。页面切换动画流畅。React DevTools Profiler 检测。","Sprint 3,performance","Sprint 3"
"人生罗盘：罗盘主页","功能入口卡片列表。价值观/雷达图/分析/实验。完成状态展示。未完成引导文案。","Sprint 4,feature","Sprint 4"
"人生罗盘：价值观选择页","24 张价值观卡牌 3 列网格。点选最多 5 张。选中强调色。超限 Toast。可取消选择。","Sprint 4,feature","Sprint 4"
"人生罗盘：价值观排序页","选中 5 张后拖拽排序。react-native-draggable-flatlist。结果保存 Compass Store。","Sprint 4,feature","Sprint 4"
"人生罗盘：满意度雷达图","react-native-skia 绘制 6 维雷达图。6 滑杆（工作/财务/关系/健康/成长/生活 1-10）。实时更新。","Sprint 4,feature","Sprint 4"
"人生罗盘：方向分析页","价值观 Top 5 vs 满意度对比列表。差距≥3 分标记。生成关键发现文案。创建小步实验按钮。","Sprint 4,feature","Sprint 4"
"人生罗盘：小步实验页","实验模板表单。验证假设/实验动作/周期/成功标准。原则提示卡片。保存。","Sprint 4,feature","Sprint 4"
"人生罗盘：数据管理","CompassProfile Zustand Store。价值观/雷达/实验状态管理。本地持久化。","Sprint 4,state","Sprint 4"
"人生罗盘：端到端走查","完整罗盘流程走查：选择→排序→雷达图→分析→实验。边界测试。","Sprint 4,testing","Sprint 4"
"我的页面：主页","用户信息区（昵称/邮箱/统计/退出）。功能入口：提醒/导出/设置。日志时间线。","Sprint 5,feature","Sprint 5"
"我的页面：日志时间线","按日期分组纵向时间线。左侧竖线+圆点。右侧卡片（时间/摘要/标签/评分变化）。点击展开。","Sprint 5,feature","Sprint 5"
"我的页面：PDF 导出","react-native-pdf-lib 客户端生成 PDF。内容：所有日志+雷达图+价值观。进度指示器。Share Sheet。","Sprint 5,feature","Sprint 5"
"我的页面：文本导出","Markdown 格式纯文本导出。所有历史记录。Share Sheet。","Sprint 5,feature","Sprint 5"
"我的页面：设置页","外观（深色模式开关+跟随系统）。隐私说明。用户协议/隐私政策入口。关于。重新看引导。","Sprint 5,feature","Sprint 5"
"我的页面：智能提醒设置","提醒开关。时间选择器。重复日 Chip 多选。AI 推荐提示。expo-notifications 本地通知。","Sprint 5,feature","Sprint 5"
"我的页面：设置数据管理","UserSettings Zustand Store。主题/提醒/引导状态。本地持久化。","Sprint 5,state","Sprint 5"
"账户系统：登录页 UI","Logo+名称+Slogan。邮箱/密码输入。记住我+忘记密码。登录按钮。微信登录按钮。注册链接。","Sprint 6,feature","Sprint 6"
"账户系统：注册页 UI","昵称/邮箱/密码/确认密码。协议勾选框。注册按钮。登录链接。表单校验。","Sprint 6,feature","Sprint 6"
"账户系统：邮箱认证逻辑","Supabase Auth 集成。注册→确认邮件→登录→JWT→Token 刷新。Auth State 监听。","Sprint 6,backend","Sprint 6"
"账户系统：微信登录预留","微信 OAuth 接口预留。MVP 阶段 UI 入口+Mock 逻辑。上架后接入真实微信 SDK。","Sprint 6,feature","Sprint 6"
"账户系统：忘记密码","输入邮箱→supabase.auth.resetPasswordForEmail()→发送重置链接→提示。","Sprint 6,feature","Sprint 6"
"账户系统：云端同步-上传","会话完成后上传 Supabase。本地标记 synced/pending/failed。失败重试 3 次指数退避。","Sprint 6,backend","Sprint 6"
"账户系统：云端同步-下载","登录后拉取历史数据合并到本地。updatedAt 增量同步。非阻塞指示器。","Sprint 6,backend","Sprint 6"
"账户系统：离线支持","本地优先架构。NetInfo 检测网络。离线正常使用。联网自动推送。last-write-wins 冲突策略。","Sprint 6,backend","Sprint 6"
"账户系统：引导页","3 屏引导页。大 emoji+标题+描述。圆点指示器。下一步/开始/跳过。首次登录后展示。","Sprint 6,feature","Sprint 6"
"账户系统：认证流程导航","Auth Stack Navigator。未登录→登录页。登录后→引导页（首次）/首页。Token 过期自动跳转。","Sprint 6,navigation","Sprint 6"
"边界完善：空状态全覆盖","逐页检查所有可空区域：首页无记录/罗盘未完成/洞察数据不足/日志为空。确保有空状态设计。","Sprint 7,polish","Sprint 7"
"边界完善：异常处理全覆盖","10 种异常处理：语音超时/过短/失败、网络异常、同步失败、Token 过期、存储不足、导出超时。","Sprint 7,polish","Sprint 7"
"边界完善：加载状态","所有异步操作 loading 状态。按钮 spinner+disabled。列表骨架屏。","Sprint 7,polish","Sprint 7"
"边界完善：无障碍适配","所有交互元素 accessibilityLabel。VoiceOver 朗读顺序。颜色对比度 WCAG AA。触控区域≥44pt。","Sprint 7,accessibility","Sprint 7"
"边界完善：深色模式全量测试","深色模式下走查所有 20+ 页面。修复颜色/对比度/可读性问题。","Sprint 7,testing","Sprint 7"
"边界完善：性能测试","Xcode Instruments 内存泄漏/CPU/启动时间（<2s）。FlatList 优化（getItemLayout/removeClippedSubviews）。","Sprint 7,performance","Sprint 7"
"边界完善：崩溃测试","快速切换页面/连续操作/极端输入/网络切换。崩溃率<0.5%。","Sprint 7,testing","Sprint 7"
"边界完善：隐私合规检查","确认权限最小化。隐私政策与实际一致。数据上传前用户知晓。App Store 隐私标签准备。","Sprint 7,compliance","Sprint 7"
"边界完善：Bug 修复","修复 Sprint 5-7 测试发现的所有 Bug。优先级：崩溃>核心阻断>UI 异常>体验优化。","Sprint 7,bug","Sprint 7"
"上架：App Store 元数据","App 名称/副标题/描述/关键词/分类。3 套尺寸截图。","Sprint 8,release","Sprint 8"
"上架：App 预览视频","录制 30 秒 App 预览视频。展示核心拆解流程。Xcode Simulator 录制。","Sprint 8,release","Sprint 8"
"上架：隐私政策 URL","隐私政策部署为公开网页（GitHub Pages）。App Store Connect 填入 URL。","Sprint 8,release","Sprint 8"
"上架：TestFlight 内部测试","上传构建。配置 TestFlight 内部测试组。邀请 2-3 名目标用户。收集反馈。","Sprint 8,testing","Sprint 8"
"上架：审核材料准备","审核备注：本 App 是心理健康辅助工具非医疗设备。CBT 通用心理学原理。不做医疗诊断。","Sprint 8,release","Sprint 8"
"上架：提交审核","Xcode 提交构建。选择版本。出口合规信息。提交审核。","Sprint 8,release","Sprint 8"
"上架：审核反馈处理（预留）","处理审核可能问题：健康类严格审核/隐私政策/权限说明。预留 4h。","Sprint 8,release","Sprint 8"
"上架：发布后监控","Sentry/Crashlytics 崩溃监控。App Store 评分评论监控。Supabase 用量告警。","Sprint 8,devops","Sprint 8"
